,address,adtype,latitude,longitude,panel_id,postcode,site_id
0,Asda Stepney Green Anchor Retail Park 123 Mile End Road London,Asda - Digital,51.52112,-0.050398,175637,E1 4UJ,129282.0
0,BURDETT ROAD ERIC STREET 37M S/O  149.5 M S/O BOW COMMON TOWER HAMLETS,Bus Shelters,51.522648,-0.034245,175726,E3 4TN,129364.0
0,BURDETT ROAD ERIC STREET 37M S/O  149.5 M S/O BOW COMMON TOWER HAMLETS,Bus Shelters,51.522648,-0.034245,175727,E3 4TN,129364.0
0,WESTFERRY ROAD 53 M N/O SPINDRIFT AVENUE OPP NO: 216 TOWER HAMLETS,Bus Shelters,51.49046,-0.022809,175730,E14 9YD,129368.0
0,WESTFERRY ROAD 53 M N/O SPINDRIFT AVENUE OPP NO: 216 TOWER HAMLETS,Bus Shelters,51.49046,-0.022809,175731,E14 9YD,129368.0
0,105 Charing Cross Road Foyles Westminster,Phoneboxes - Digital,51.513942,-0.129816,175773,WC2H 0DT,129401.0
0,39 Wilton Road Pret A Manger Westminster,Phoneboxes - Digital,51.494503,-0.141892,175774,SW1V 1LJ,129402.0
0,209 Baker Street opp Baker Street Tube Station Westminster,Phoneboxes - Digital,51.522485,-0.158238,175775,NW1 6UY,129404.0
0,Marylebone Lane O/S Debenhams Westminster,Phoneboxes - Digital,51.514928,-0.147791,175776,W1C 1JG,129405.0
0,13 Great Newport Street Corner of Leicester Square Tube Station Westminster,Phoneboxes - Digital,51.511931,-0.127794,175777,WC2H 7JA,129406.0
0,143-145 Edgware Road Westminster,Phoneboxes - Digital,51.518945,-0.168212,175778,W2 1DW,129407.0
0,27-29 Edgware Road Westminster,Phoneboxes - Digital,51.51445,-0.16254,175779,W2 2JE,129408.0
0,438 Edgware Road Westminster,Phoneboxes - Digital,51.523091,-0.174013,175780,W2 1EG,129409.0
0,6-10 Great Portland Street Maplin Westminster,Phoneboxes - Digital,51.515975,-0.140643,175781,W1W 8QL,129410.0
0,50-52 Buckingham Palace Road O/S Balls Brothers Westminster,Phoneboxes - Digital,51.496935,-0.144977,175782,SW1W 0RN,129411.0
0,10 Great Marlborough Street  O/S Marks And Spencers Westminster,Phoneboxes - Digital,51.514625,-0.138277,175783,W1F 7LP,129412.0
0,97 Edgware Road William HIll Westminster,Phoneboxes - Digital,51.516474,-0.165134,175784,W2 2JF,129413.0
0,o/s 436 Holloway Road Islington,Phoneboxes - Digital,51.557252,-0.118071,175785,N7 6QA,129414.0
0,New Cross Road adj All Sainst Church Lewisham,Phoneboxes - Digital,51.475838,-0.048082,175788,SE14 5BA,129417.0
0,Archway Underground Station o/s Subway Islington,Free Standing Units - Digital,51.564809,-0.13464,175835,N19 5QT,129456.0
0,Caledonian 2 on Caledonian Road by Pool Islington,Free Standing Units - Digital,51.537855,-0.116968,175836,N1 0NH,129457.0
0,Caledonian 6 junction Stock Orchard Terrace opp 54,Free Standing Units - Digital,51.560304,-0.112722,175837,N7 7PH,129458.0
0,Caledonian Road Security Buildong j/c Killick Stre,Free Standing Units - Digital,51.534183,-0.119051,175838,N1 9RH,129459.0
0,Caledonian Road Stock Orchard Street opposite Hilm,Free Standing Units - Digital,51.550784,-0.119088,175839,N7 9JD,129460.0
0,Essex Road o/s Bentham Court Islington,Free Standing Units - Digital,51.540711,-0.095016,175840,N1 3AP,129461.0
0,Caledonian Road j/c Camden Road Islington,Free Standing Units - Digital,51.555853,-0.117205,175841,N7 9SB,129462.0
0,Corner of Holloway Road opp Fairbridge Islington,Free Standing Units - Digital,51.564456,-0.130543,175842,N19 3EN,129463.0
0,Holloway Road o/s Whittington Park Islington,Free Standing Units - Digital,51.562614,-0.127228,175843,N19 4DQ,129464.0
0,32-34 Clerkenwell Road Islington,Free Standing Units - Digital,51.522966,-0.100456,175844,EC1M 5PS,129465.0
0,Old Street opp Shell Garage Islington,Free Standing Units - Digital,51.527025,-0.079686,175845,EC1V 9LT,129466.0
0,Roseberry Avenue o/s Taylor House Islington,Free Standing Units - Digital,51.527341,-0.107425,175846,EC1R 4QU,129467.0
0,Roseberry Avenue Tysoe Street Islington,Free Standing Units - Digital,51.526702,-0.109052,175847,EC1R 4RQ,129468.0
0,Seven Sisters Road opp Meding Road Islington,Free Standing Units - Digital,51.561597,-0.111471,175848,N7 7PU,129469.0
0,St John Street o/s Library Islington,Free Standing Units - Digital,51.526431,-0.104536,175849,EC1V 4NB,129470.0
0,St John Street j/c Whisken Street Islington,Free Standing Units - Digital,51.527264,-0.104285,175850,EC1V 4PB,129471.0
0,Upper Street Adj Council Offices Islington,Free Standing Units - Digital,51.544276,-0.103622,175851,N1 1XR,129472.0
0,No 8 Seven Sisters 618 Seven Sisters Road London,Pubs & Bars - Digital,51.578259,-0.082001,175963,N15 6JH,129554.0
0,Tottenham Court Road opp Dominion Theatre Westminster,Phoneboxes - Digital,51.516562,-0.130497,175979,W1D 1AL,129568.0
0,93-107 Shaftsbury Avenue o/s Bank of China Westminster,Phoneboxes - Digital,51.512738,-0.13047,175980,W1D 5DA,129569.0
0,James Street leading to St Christophers Place Westminster,Phoneboxes - Digital,51.515198,-0.15072,175981,W1D 2LR,129570.0
0,North Audley Street opposite Selfridges Westminster,Phoneboxes - Digital,51.513616,-0.153509,175982,W1C 2PT,129571.0
0,Portman Street Junction 508-520 Oxford Street Westminster,Phoneboxes - Digital,51.513989,-0.157241,175983,W1H 7PR,129572.0
0,286 Harrow Road Westminster,Phoneboxes - Digital,51.520882,-0.191587,175984,W2 5ES,129573.0
0,123-151 Buckingham Palace Road o/s Victoria Place Westminster,Phoneboxes - Digital,51.493047,-0.146503,175986,SW1W 9SH,129575.0
0,157-197 Buckingham Palace Road Westminster,Phoneboxes - Digital,51.491672,-0.148244,175987,SW1W 9SP,129576.0
0,57 Edgware Road Westminster,Phoneboxes - Digital,51.515406,-0.163857,175989,W2 2HZ,129578.0
0,John Princes Street Junction 240 Oxford Street Westminster,Phoneboxes - Digital,51.51532,-0.143005,175990,W1C 1DH,129579.0
0,306 Edgware Road o/s Edgware Road Station Westminster,Phoneboxes - Digital,51.520591,-0.170524,175991,W2 1DY,129580.0
